file	total	auth_any	unauth	auth_signature	auth_decorator	auth_router
backend/app/api/patient_engagement.py	11	0	11	0	0	0
backend/app/api/protocol_deviations.py	11	0	11	0	0	0
backend/app/api/x12.py	11	0	11	0	0	0
backend/app/api/assistant.py	10	0	10	0	0	0
backend/app/api/audit.py	10	0	10	0	0	0
backend/app/api/cdisc.py	10	0	10	0	0	0
backend/app/api/cds_hooks.py	10	0	10	0	0	0
backend/app/api/change_control.py	10	0	10	0	0	0
backend/app/api/etl_management.py	10	0	10	0	0	0
backend/app/api/metriport_api.py	10	0	10	0	0	0
backend/app/api/notes.py	10	0	10	0	0	0
backend/app/api/reconciliation.py	10	0	10	0	0	0
backend/app/api/smart_server.py	10	9	1	9	0	0
backend/app/api/autoscaling.py	9	0	9	0	0	0
backend/app/api/clinical_agent.py	9	0	9	0	0	0
backend/app/api/data_classification.py	9	0	9	0	0	0
backend/app/api/data_quality.py	9	0	9	0	0	0
backend/app/api/feature_store.py	9	0	9	0	0	0
backend/app/api/model_registry.py	9	0	9	0	0	0
backend/app/api/prediction_audit.py	9	0	9	0	0	0
backend/app/api/security_hardening.py	9	0	9	0	0	0
backend/app/api/users.py	9	9	0	9	0	0
backend/app/api/vocabulary.py	9	0	9	0	0	0
backend/app/api/agent.py	8	0	8	0	0	0
backend/app/api/api_versioning.py	8	0	8	0	0	0
backend/app/api/auth.py	8	5	3	5	0	0
backend/app/api/business_continuity.py	8	0	8	0	0	0
backend/app/api/data_sources.py	8	0	8	0	0	0
backend/app/api/drift_detection.py	8	0	8	0	0	0
backend/app/api/etl/etl_mappings.py	8	0	8	0	0	0
backend/app/api/graph_rag.py	8	0	8	0	0	0
backend/app/api/infrastructure.py	8	0	8	0	0	0
backend/app/api/predictions.py	8	0	8	0	0	0
backend/app/api/quality_management.py	8	0	8	0	0	0
backend/app/api/referral_network.py	8	0	8	0	0	0
backend/app/api/risk_thresholds.py	8	0	8	0	0	0
backend/app/api/streaming.py	8	0	8	0	0	0
backend/app/api/traceability.py	8	0	8	0	0	0
backend/app/api/ai_coding.py	7	0	7	0	0	0
backend/app/api/data_consistency.py	7	0	7	0	0	0
backend/app/api/etl/etl_connectors.py	7	0	7	0	0	0
backend/app/api/etl/etl_core.py	7	0	7	0	0	0
backend/app/api/fairness_audit.py	7	7	0	7	0	0
backend/app/api/health.py	7	0	7	0	0	0
backend/app/api/hitrust_compliance.py	7	0	7	0	0	0
backend/app/api/kg_health.py	7	0	7	0	0	0
backend/app/api/lab_reference.py	7	0	7	0	0	0
